Neurocomputacion|11
Sistemas informaticos 2|11
Trabajo fin de grado|11
Deporte|13
Leer | 13
Meditar|12
Tocar |30
Limpiar la casa|20
Hacer alguno de los recordatorios |20
Jugar a videojuegos | 40
Escuchar musica | 30
Ver series o peliculas | 40
